fac1,fac2,fac1_name,fac1_name,fac1_name,fac2_name,fac2_name,fac2_name,wstart,wend,winner,week
52063,52358,Torn City Cartel,0,0,Gotham&#039;s Finest,0,0,1737057600,0,0,2025_3
11796,40992,SMTH - Bright Summit,0,0,Medic!!,0,2,1737072000,0,0,2025_3
7969,33007,WIT-Premier,0,0,HAKA,0,0,1737241200,0,0,2025_3
38634,48650,Takut Bini Army of Light,0,0,300,0,0,1737036000,0,0,2025_3
8954,43325,Nuclear Armageddon,0,0,Crime Syndicate,0,0,1737226800,0,0,2025_3
35183,48636,FightClub,0,0,Jokerz Wild,0,0,1737072000,0,0,2025_3
51192,52357,Mayans MC,0,0,Mystic Marauders,0,0,1737064800,0,0,2025_3
37803,50170,PT-PimpTuga,0,0,Night Watch,0,0,1737151200,0,0,2025_3
50196,53032,War Monkeys,0,0,Cupins Vevecation,0,0,1737205200,0,0,2025_3
46144,47515,SKS MUTATED,0,0,Project at Eden&#039;s Gate,0,0,1737054000,0,0,2025_3
20303,44040,The Saviors,0,0,Galactic Arcade,0,0,1737133200,0,0,2025_3
937,10174,Sport Club,0,0,AQUA-Poseidon,0,1,1737039600,0,0,2025_3
16335,42125,SMTH - November Chopin,0,0,ODB,0,0,1737118800,0,0,2025_3
38511,50740,Bellazzurro Family,0,0,Double Chocolate Winter,0,0,1737054000,0,0,2025_3
51307,52786,The Street Rats,0,0,Mass Destruction,0,0,1737230400,0,0,2025_3
29107,38319,Hello High,0,0,Unity Of Bagan,0,0,1737072000,0,0,2025_3
53021,53056,2FADED2DIE,0,0,Petals of the Frozen Dawn,0,0,1737064800,0,0,2025_3
48790,51836,Soldiers of Darkness,0,0,Brotherhood of Berzerkerz,0,0,1737158400,0,0,2025_3
48246,52292,Knockout - Corner Care,0,0,The Cartel Gods,0,0,1737234000,0,0,2025_3
44817,48640,Pokemon City,0,0,Phoenix Ascent,0,0,1737234000,0,0,2025_3
42832,51906,Ascendency,0,0,Mouthy Mercs,0,0,1737147600,0,0,2025_3
51304,51984,Legion Of Doom,0,0,x00,0,0,1737190800,0,0,2025_3
27902,40959,SMTH - Concord,0,0,EPIC Mafia,0,0,1737032400,0,0,2025_3
8836,30820,Vinerri,0,0,Wolverines Resurrected,0,0,1737241200,0,0,2025_3
8255,37402,Requiem,0,0,The Laboratory,0,0,1737212400,0,0,2025_3
9674,26437,Smells like Sex,0,0,The Pagans,0,0,1737144000,0,0,2025_3
50604,52917,Gurkha Revolutionary Army,0,0,The Shadow Kingdom,0,0,1737057600,0,0,2025_3
50695,52905,Neon Nexus,0,0,Odds &amp; Sods,0,0,1737144000,0,0,2025_3
39580,47237,Raccoon Rumpus,0,0,Dank Meadows,0,0,1737216000,0,0,2025_3
50245,50267,Familia Delinquentium,0,0,Hallucinogenics,0,0,1737165600,0,0,2025_3
946,13307,PT-IronHearts,0,0,Goblin Horde,0,2,1737223200,0,0,2025_3
51059,52994,Lethal Interjection Crew,0,0,Plateaux,0,0,1737039600,0,0,2025_3
10140,12094,In Memory of the Fallen,0,0,Nuclear Fusion,0,0,1737154800,0,0,2025_3
40420,46442,Too Sober for this Shit,0,0,The Resolute,0,0,1737054000,0,0,2025_3
44627,49450,X FORBIDDEN SHADOWS X,0,0,The Couch Potatoes,0,0,1737237600,0,0,2025_3
