uid,name,level,la,fid,faction,rankedwarhits,attackswon,xantaken,useractivity,retals,boostersused,energydrinkused,specialammoused,dukecontractscompleted,refills,Stats,total
2583883,FromTheStar,50,1718875114,36140,Princess Dale&#039;s Beavers,195,2923,169,2989825,0,20,26,0,517,111,0,35786166
2583892,Elixir_Dreamer,93,1718877099,19,39th Street Killers,659,7199,2682,9971399,10,317,50,13783,509,902,0,1805423569
2583931,Unauthorised,92,1718877477,42125,ODB,970,14100,3036,9852608,16,175,2420,0,1087,1240,0,2644854142
2583966,DarthPaul1892,75,1718870821,8836,Vinerri,917,5557,1764,4313863,4,205,26,6065,267,720,0,1220845350
2584042,JJChua,21,1718878396,35140,Vault 76,205,3263,483,2435178,0,371,0,0,48,74,0,18216821
2584076,LaggyGor,50,1718876259,49153,The Weekend Warriors,30,2228,170,989831,0,70,10,3599,319,129,0,1836457
2584116,Newcomer201,50,1718873190,7969,WIT-Premier,324,3643,1391,2298534,4,15,105,166,174,121,0,645256739
2584120,PaulzaEiEi,80,1718848373,5431,Ghost Ship,1133,7511,2320,2688202,139,69,187,171,234,367,0,1396034097
2584133,Said,80,1718877670,8836,Vinerri,696,8466,3255,7714695,59,1538,857,16504,627,1238,0,3389827670
2584408,Xerxia,69,1718854231,40775,WarDogs HQ,327,8477,966,7504308,48,103,350,14101,374,212,0,19005903
2584467,WitcherGeralt,93,1718870215,9305,Legitimate Business,1750,12318,2076,7214674,183,346,1153,3574,414,941,0,1160312449
2584554,Soulesswolfs,18,1718867547,41067,Houdini,0,85,8,224799,0,0,0,0,13,125,0,180768
2584558,simber,94,1718878311,10140,In Memory of the Fallen,2300,11079,3278,13277204,244,493,743,5590,214,874,0,2465634650
2584567,Aubs,30,1718875329,44562,Vanguard Titans,74,2391,130,1374994,1,10,5,0,158,24,0,12315539
2584778,HorusKhan,90,1718878403,11581,Natural Selection III,1012,5017,3184,7214886,60,50,246,937,461,892,0,2351730991
2584992,Gratz,100,1718872648,8954,Nuclear Armageddon,848,8288,3775,8183529,298,992,5856,23933,382,1340,0,5248335403
2585009,Davidred,28,1718868650,50529,Mergers and acquisitions,6,587,33,1011889,0,1,0,353,179,4,0,207118
2585029,maaahzito,99,1718838597,28073,Shiny Hoard Avian Team,1309,10638,3448,7467109,648,334,4717,40838,349,1322,0,3941875625
2585053,Kulock,82,1718851882,7835,Monarch Mutation,582,4440,2887,2774319,5,222,508,1502,35,808,0,2900997937
2585065,MAK-90,75,1718877219,8836,Vinerri,182,3118,954,2444085,3,57,1357,8828,124,754,0,487183785
2585164,L3k1,67,1718875274,7227,The Collective JTF,328,2580,1820,1487255,0,95,59,4457,216,89,0,660016126
2585215,TheSc00by,80,1718876194,8836,Vinerri,999,5023,1704,2352655,1,9,0,0,90,42,0,653851003
258526,Ardoneye,91,1718875521,8151,Chromatic,629,3507,1870,3037144,25,9,75,391,145,722,0,2205884554
2585275,Valkyttie,79,1718877958,10820,Lithium,308,3326,1586,2211595,0,174,84,140,140,154,0,618152513
2585354,Altecx,89,1718869180,8954,Nuclear Armageddon,656,7166,2430,7680243,20,274,187,10250,383,918,0,1844295577
2585382,Alf0,51,1718875554,21234,Underground Nation,80,2739,94,2247029,0,108,41,2626,187,616,0,716713453
2585454,Tooge,60,1718855386,39756,Abusement Park,893,7230,2152,5217020,91,236,221,4512,335,540,0,1074886470
2585457,Bird_Brains,50,1718868369,28073,Shiny Hoard Avian Team,623,7440,2840,5660646,4,175,113,1230,259,761,0,2203601276
2585558,Catboy,52,1718875836,21716,The Covenant,254,6421,824,2340084,0,459,36,0,362,261,0,176363962
2585560,Verty6,70,1718859409,41702,39th Street Warriors,533,7478,1496,1703332,2,380,5,107,214,31,0,104952412
258573,saredies,86,1718878099,8255,Requiem,450,4332,3182,1422145,10,341,19,13175,385,417,0,3975297116
2585769,MaronSanguine,95,1718877610,13851,Nuclear Therapy,653,7915,3432,3774179,21,264,39,11993,192,677,0,2987224290
2585820,Boushun,86,1718876879,946,PT-IronHearts,257,4744,2186,1428977,10,100,312,0,124,277,0,1272006953
